gpu,scene,ray_kind,ray_order,bvh_builder,tensor_variant,width,height,max_leaf_triangles,cuda32_median_ms,tensor_median_ms,cuda32_over_tensor_speedup,samples_per_scope
A10,Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,0.261120,0.497664,0.524691,9
A10,Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,8,0.306176,0.406528,0.753149,9
A10,Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,0.357376,0.373760,0.956164,9
A10,Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,32,0.396000,0.409536,0.966948,9
A10,Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,64,0.591872,0.419840,1.409756,9
A10,Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,128,0.809952,0.494592,1.637616,9
A10,Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,1.181696,0.800768,1.475703,9
A100,Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,0.238592,0.480256,0.496802,9
A100,Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,8,0.287744,0.391168,0.735602,9
A100,Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,0.352256,0.365568,0.963585,9
A100,Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,32,0.408576,0.409600,0.997500,9
A100,Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,64,0.637952,0.418816,1.523227,9
A100,Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,128,0.878592,0.512000,1.716000,9
A100,Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,1.249280,0.851968,1.466346,9
H100,Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,0.163456,0.376128,0.434575,9
H100,Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,8,0.195520,0.317824,0.615183,9
H100,Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,0.252096,0.285344,0.883481,9
H100,Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,32,0.296768,0.311712,0.952058,9
H100,Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,64,0.460608,0.330400,1.394092,9
H100,Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,128,0.622080,0.392320,1.585644,9
H100,Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,0.919744,0.680320,1.351928,9
